feature,coef,abs_coef
cg21896567,0.09004475631705071,0.09004475631705071
cg17776904,0.0819407864377868,0.0819407864377868
cg08690844,-0.07822183390906536,0.07822183390906536
cg22266222,0.07820258638040312,0.07820258638040312
cg09419102,-0.07802241537072999,0.07802241537072999
cg19362689,0.07778934243762507,0.07778934243762507
cg05629144,0.07715370728574315,0.07715370728574315
cg12041885,-0.07586817439555263,0.07586817439555263
cg15927775,0.07533388494602813,0.07533388494602813
cg14497346,0.07514532212479604,0.07514532212479604
cg23418219,-0.07405267707005073,0.07405267707005073
cg20536158,0.07091817995014305,0.07091817995014305
cg25045064,0.07013079693082178,0.07013079693082178
cg18158149,0.06947592581829433,0.06947592581829433
cg04309275,-0.0680227046176235,0.0680227046176235
cg24021808,0.06770525269297065,0.06770525269297065
cg26194477,-0.06753016207531484,0.06753016207531484
cg23679619,0.06725512146706364,0.06725512146706364
cg01615124,0.0662423874029265,0.0662423874029265
cg14634794,-0.06585255158878801,0.06585255158878801
cg23417911,0.06386480604908384,0.06386480604908384
cg16647682,-0.06280050010356944,0.06280050010356944
cg04500377,-0.062251203606564956,0.062251203606564956
cg15650376,0.06203362080527537,0.06203362080527537
cg25337741,0.06175465792943094,0.06175465792943094
cg10917602,0.06116808945286427,0.06116808945286427
cg22551157,0.0610392778113779,0.0610392778113779
cg27503801,0.06068488697780271,0.06068488697780271
cg08692046,0.06046898812613677,0.06046898812613677
cg00818853,-0.06040701066157268,0.06040701066157268
cg27615578,0.059587948049026666,0.059587948049026666
cg24898227,0.05865367377474558,0.05865367377474558
cg13175572,0.058617147773662226,0.058617147773662226
cg08445623,-0.057249690596687344,0.057249690596687344
cg14482553,0.0571503049265811,0.0571503049265811
cg17504742,-0.05648287477443473,0.05648287477443473
cg12776916,0.056184802691846183,0.056184802691846183
cg16600634,0.05618478208571469,0.05618478208571469
cg03080879,-0.05548046507646921,0.05548046507646921
cg21381065,0.055063695583852566,0.055063695583852566
cg14317491,0.055033322762432946,0.055033322762432946
cg26685941,0.05497750699169958,0.05497750699169958
cg18468088,0.054905541846387976,0.054905541846387976
cg05147578,-0.05467503973230169,0.05467503973230169
cg03164932,0.05459351402987344,0.05459351402987344
cg22777186,0.054319819054688315,0.054319819054688315
cg12301428,-0.05421539280235016,0.05421539280235016
cg02723741,0.053957962009825194,0.053957962009825194
cg21475150,0.053903285373428964,0.053903285373428964
cg03715798,0.05362951196479476,0.05362951196479476
cg24170166,-0.05349691373314349,0.05349691373314349
cg03216846,-0.05300317481958067,0.05300317481958067
cg07181063,-0.052655843293193394,0.052655843293193394
cg04896437,0.05254279596183111,0.05254279596183111
cg15469211,-0.05251287371528783,0.05251287371528783
cg22927000,0.05248423582139454,0.05248423582139454
cg02912956,0.052377982780577786,0.052377982780577786
cg05237259,0.05226578787367299,0.05226578787367299
cg22689535,-0.052248135891445016,0.052248135891445016
cg10659886,0.052121521420427655,0.052121521420427655
cg13541704,0.052092960406540205,0.052092960406540205
cg04367531,0.05197396477339935,0.05197396477339935
cg16867657,0.05186277307924466,0.05186277307924466
cg06713632,0.05175492681811958,0.05175492681811958
cg27481866,-0.051676750125901595,0.051676750125901595
cg11344148,0.051636806966486086,0.051636806966486086
cg05683161,0.05098713394459364,0.05098713394459364
cg06355175,-0.050975670155962646,0.050975670155962646
cg26985711,-0.05090616904300333,0.05090616904300333
cg16286658,0.05073053600436331,0.05073053600436331
cg12441885,-0.05063538398136262,0.05063538398136262
cg19031565,-0.050598534828025316,0.050598534828025316
cg00464651,-0.050489899272234226,0.050489899272234226
cg21674927,0.050237839811632386,0.050237839811632386
cg05797770,-0.050152655528270966,0.050152655528270966
cg14018024,-0.04987077263800558,0.04987077263800558
cg27042278,0.04972803309604877,0.04972803309604877
cg08090640,-0.04943256462429288,0.04943256462429288
cg05241316,-0.04925637793448211,0.04925637793448211
cg04981967,0.04922899009742064,0.04922899009742064
cg03863669,-0.04919756339213793,0.04919756339213793
cg25722880,0.049068431056327105,0.049068431056327105
cg25521882,0.04891534653625712,0.04891534653625712
cg12375167,0.048900830204759965,0.048900830204759965
cg13882251,-0.04889914116843236,0.04889914116843236
cg24688549,0.04882006743269962,0.04882006743269962
cg23676151,0.048776421835667993,0.048776421835667993
cg23049291,0.04870970634850914,0.04870970634850914
cg00065935,0.0484129936587803,0.0484129936587803
cg08521040,-0.04828256781171783,0.04828256781171783
cg21192635,0.04823160146030239,0.04823160146030239
cg02570774,-0.047993015960015414,0.047993015960015414
cg08316204,0.04787874323980635,0.04787874323980635
cg01949324,-0.047841802832300814,0.047841802832300814
cg01663988,0.04781795350118086,0.04781795350118086
cg07811644,0.04773998683630991,0.04773998683630991
cg05664888,-0.04767765281466017,0.04767765281466017
cg19824710,0.04762713032387714,0.04762713032387714
cg08794478,-0.04757376653243943,0.04757376653243943
cg23650171,0.04755396318661473,0.04755396318661473
